,Unnamed: 0.1,Unnamed: 0,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,Position,Dataset,Generation,Mother_ID,Grandmother_ID,Sister_ID,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Random_ID,Seen_granny, ,Label,X,Y,Frame_onset,Frames_in_mitosis,Mitotic_duration_mins,Interphase_duration_mins,Interphase_duration_hrs,Mitotic_duration_hrs,Mother_Mitotic_duration_mins,Mother_arrested,Metaphase_arrested,Frame_onset_hrs,Frame_hrs,Mitotic_duration_bin,Unique_Track_ID,Unique_Source_ID,Laggings,Massive Missegregation,DNA bridge,Misaligned,MN,Multipolar Divition,Citokinesis Failure,Slippage,Mitotic Death,Comments,any_true
27,27,32,10,2529,True,2529,789.2826601435872,219.452344176406,67,3,20250704,1,,,,,,,5370,,69,tomeasure:2529:1,830.3,265.994,1,66,462,,,7.7,,,> 120 min,0.1166666666666666,7.816666666666666,"(450, 480]",20250704310,2025070432529,False,False,False,False,False,False,False,False,False,,False
28,28,34,5,2547,True,2547,344.50827296324763,446.4313459024646,1,3,20250627,1,,,,,,,2951,,1,tomeasure:2547:1,349.687,435.038,1,0,0,,,0.0,,,000-030 min,0.1166666666666666,0.1166666666666666,,2025062735,2025062732547,False,False,False,False,False,False,False,False,False,where is mitosis,False
29,29,36,5,2553,True,2547.2553,439.3878815123561,535.5104543656014,320,3,20250627,2,2547.0,,,2233.0,37.21666666666667,,2623,,49,tomeasure:2553:309,441.667,536.546,309,11,77,2156.0,35.93333333333333,1.2833333333333334,0.0,,060-090,36.05,37.333333333333336,"(60, 90]",2025062735,2025062732553,False,False,True,False,True,False,False,False,False,,True
30,30,34,11,2561,True,2561,651.1754580187251,281.3243707283442,58,3,20250704,1,,,,,,,5656,,47,tomeasure:2561:38,640.541,319.856,38,20,140,,,2.333333333333333,,,> 120 min,4.433333333333334,6.766666666666667,"(120, 150]",20250704311,2025070432561,False,False,False,False,False,False,False,False,False,,False
31,31,40,6,2574,True,2574,349.89445161450703,317.1630582722382,1,3,20250627,1,,,,,,,6162,,2,tomeasure:2574:1,348.03,316.127,1,0,0,,,0.0,,,000-030 min,0.1166666666666666,0.1166666666666666,,2025062736,2025062732574,False,False,False,False,False,False,False,False,False,,False
32,32,42,6,2610,True,2574.2610,317.1630582722382,274.9022719315872,185,3,20250627,2,2574.0,,2668.0,1288.0,21.466666666666665,False,5610,,34,tomeasure:2610:178,321.928,274.695,178,7,49,1239.0,20.65,0.8166666666666667,0.0,,030-060,20.766666666666666,21.58333333333333,"(30, 60]",2025062736,2025062732610,False,False,False,False,False,False,False,False,False,,False
33,33,38,12,2615,True,2615,625.7637328277505,418.32671523620746,57,3,20250704,1,,,,,,,5441,,41,tomeasure:2615:20,664.572,441.667,20,37,259,,,4.316666666666666,,,> 120 min,2.333333333333333,6.65,"(240, 270]",20250704312,2025070432615,False,False,False,False,False,False,False,False,False,,False
34,34,44,6,2623,True,2574.2610.2623,296.8613079713372,230.56987841737492,470,3,20250627,3,2610.0,2574.0,2644.0,1995.0,33.25,True,6405,True,66,tomeasure:2623:461,299.14,235.749,461,9,63,1932.0,32.2,1.05,49.0,030-060,060-090,53.78333333333333,54.833333333333336,"(60, 90]",2025062736,2025062732623,False,False,False,False,False,False,False,False,False,,False
35,35,46,6,2644,True,2574.2610.2644,323.7922012276344,324.6208440970589,427,3,20250627,3,2610.0,2574.0,2623.0,1694.0,28.23333333333333,False,5585,False,61,tomeasure:2644:416,330.629,327.314,416,11,77,1617.0,26.95,1.2833333333333334,49.0,030-060,060-090,48.53333333333333,49.81666666666667,"(60, 90]",2025062736,2025062732644,False,False,False,False,False,False,False,False,False,,False
36,36,48,6,2668,True,2574.2668,445.1883815983278,326.278129835908,157,3,20250627,2,2574.0,,2610.0,1092.0,18.2,True,2276,,32,tomeasure:2668:149,446.224,322.342,149,8,56,1036.0,17.266666666666666,0.9333333333333332,0.0,,030-060,17.383333333333333,18.316666666666663,"(30, 60]",2025062736,2025062732668,False,False,False,False,False,False,False,False,False,,False
37,37,44,13,2671,True,2671,1140.9035967534862,388.49555957723726,1,3,20250704,1,,,,,,,2852,,1,tomeasure:2671:1,1136.898,391.948,1,0,0,,,0.0,,,000-030 min,0.1166666666666666,0.1166666666666666,,20250704313,2025070432671,False,False,False,False,False,False,False,False,False,,False
38,38,50,6,2681,True,2574.2668.2681,511.89413258700233,344.92259439795987,579,3,20250627,3,2668.0,2574.0,2699.0,2954.0,49.23333333333333,True,2105,True,92,tomeasure:2681:567,512.101,340.572,567,12,84,2870.0,47.833333333333336,1.4,56.0,030-060,060-090,66.15,67.55,"(60, 90]",2025062736,2025062732681,False,False,False,False,False,False,False,False,False,,False
39,39,52,6,2699,True,2574.2668.2699,496.1499180679363,294.37537936306364,559,3,20250627,3,2668.0,2574.0,2681.0,2814.0,46.9,False,6194,True,86,tomeasure:2699:547,502.572,300.383,547,12,84,2730.0,45.5,1.4,56.0,030-060,060-090,63.81666666666667,65.21666666666667,"(60, 90]",2025062736,2025062732699,False,False,False,False,False,False,False,False,False,,False
40,40,46,14,2700,True,2700,588.4747882540377,1341.9876830472856,59,3,20250704,1,,,,,,,2246,,51,tomeasure:2700:22,620.654,1353.174,22,37,259,,,4.316666666666666,,,> 120 min,2.566666666666667,6.883333333333334,"(240, 270]",20250704314,2025070432700,False,False,False,False,False,False,False,False,False,,False
41,41,54,7,2724,True,2724,364.8100232641486,219.38319968014383,62,3,20250627,1,,,,,,,6239,,13,tomeasure:2724:32,379.933,244.45,32,30,210,,,3.5,,,> 120 min,3.733333333333333,7.233333333333333,"(180, 210]",2025062737,2025062732724,False,True,False,False,False,False,False,False,False,,True
42,42,56,7,2746,True,2724.2746,187.34234206239543,129.8897697822948,345,3,20250627,2,2724.0,,,1981.0,33.016666666666666,,6265,,54,tomeasure:2746:338,189.345,125.539,338,7,49,1932.0,32.2,0.8166666666666667,210.0,> 120 min,030-060,39.43333333333333,40.25,"(30, 60]",2025062737,2025062732746,False,False,False,False,False,False,False,False,False,,False
43,43,58,8,2826,True,2826,518.5232755423986,161.3781988204269,67,3,20250627,1,,,,,,,2384,,24,tomeasure:2826:1,512.93,161.585,1,66,462,,,7.7,,,> 120 min,0.1166666666666666,7.816666666666666,"(450, 480]",2025062738,2025062732826,False,False,False,False,False,False,False,False,False,,False
44,44,60,9,2852,True,2852,375.9967020013797,297.6899508407617,228,3,20250627,1,,,,,,,6515,,36,tomeasure:2852:220,371.232,297.483,220,8,56,,,0.9333333333333332,,,030-060,25.666666666666668,26.6,"(30, 60]",2025062739,2025062732852,False,False,False,False,False,False,False,False,False,,False
45,45,58,17,2878,True,2878,461.4161622991645,739.8402817828867,71,3,20250704,1,,,,,,,5495,,72,tomeasure:2878:59,454.925,729.206,59,12,84,,,1.4,,,060-090,6.883333333333334,8.283333333333333,"(60, 90]",20250704317,2025070432878,False,False,False,False,False,False,False,False,False,,False
46,46,62,10,2884,True,2884,463.2113640083113,281.1170934522712,152,3,20250627,1,,,,,,,3108,,31,tomeasure:2884:139,461.554,283.81,139,13,91,,,1.5166666666666666,,,090-120,16.216666666666665,17.733333333333334,"(90, 120]",20250627310,2025062732884,False,False,False,False,False,False,False,False,False,,False
47,47,64,10,2899,True,2884.2899,447.052828054533,309.9124331647736,380,3,20250627,2,2884.0,,2925.0,1596.0,26.6,False,6122,,58,tomeasure:2899:372,446.224,308.669,372,8,56,1540.0,25.666666666666668,0.9333333333333332,91.0,090-120,030-060,43.4,44.333333333333336,"(30, 60]",20250627310,2025062732899,False,False,False,False,False,False,False,False,False,,False
48,48,66,10,2925,True,2884.2925,556.6408475359268,275.52375408365566,357,3,20250627,2,2884.0,,2899.0,1435.0,23.916666666666668,True,2668,,57,tomeasure:2925:349,561.82,273.038,349,8,56,1379.0,22.98333333333333,0.9333333333333332,91.0,090-120,030-060,40.71666666666667,41.65,"(30, 60]",20250627310,2025062732925,False,False,False,False,False,False,False,False,False,,False
49,49,68,11,2951,True,2951,730.4486893977216,289.4035221465165,64,3,20250627,1,,,,,,,6574,,20,tomeasure:2951:1,719.676,282.567,1,63,441,,,7.35,,,> 120 min,0.1166666666666666,7.466666666666667,"(420, 450]",20250627311,2025062732951,False,False,False,False,False,False,False,False,False,,False
50,50,70,39,3033,True,3033,243.4138428934552,302.2474866225967,59,3,20250627,1,,,,,,,5858,,3,tomeasure:3033:16,237.821,294.583,16,43,301,,,5.016666666666667,,,> 120 min,1.8666666666666667,6.883333333333334,"(300, 330]",20250627339,2025062733033,False,False,False,False,False,False,False,False,False,,False
51,51,72,12,3060,True,3060,163.86412742870047,276.5595576704363,64,3,20250627,1,,,,,,,6455,,18,tomeasure:3060:1,147.498,272.624,1,63,441,,,7.35,,,> 120 min,0.1166666666666666,7.466666666666667,"(420, 450]",20250627312,2025062733060,False,False,False,False,False,False,False,False,False,,False
52,52,74,13,3108,True,3108,170.76948467390488,240.65169999537343,64,3,20250627,1,,,,,,,6294,,19,tomeasure:3108:1,198.874,209.647,1,63,441,,,7.35,,,> 120 min,0.1166666666666666,7.466666666666667,"(420, 450]",20250627313,2025062733108,False,False,False,False,False,False,False,False,False,,False
53,53,76,13,3121,True,3108.3121,72.43719750219418,199.21955652414692,543,3,20250627,2,3108.0,,,3353.0,55.88333333333333,,2724,,81,tomeasure:3121:533,67.12,196.803,533,10,70,3283.0,54.71666666666667,1.1666666666666667,441.0,> 120 min,060-090,62.18333333333333,63.35,"(60, 90]",20250627313,2025062733121,False,False,False,False,False,False,False,False,False,,False
54,54,78,14,3149,True,3149,190.1044849604772,190.9331278299017,79,3,20250627,1,,,,,,,2610,,26,tomeasure:3149:70,190.588,197.631,70,9,63,,,1.05,,,060-090,8.166666666666666,9.216666666666669,"(60, 90]",20250627314,2025062733149,False,False,False,False,False,False,False,False,False,,False
55,55,80,14,3162,True,3149.3162,174.36027044141113,161.1019845306187,442,3,20250627,2,3149.0,,,2541.0,42.35,,2501,,62,tomeasure:3162:426,187.273,143.77,426,16,112,2429.0,40.48333333333333,1.8666666666666667,63.0,060-090,090-120,49.7,51.56666666666667,"(90, 120]",20250627314,2025062733162,False,False,False,False,False,False,False,False,False,,False
56,56,82,15,3190,True,3190,67.32723314074292,352.7947016574929,313,3,20250627,1,,,,,,,2346,,46,tomeasure:3190:306,66.291,348.859,306,7,49,,,0.8166666666666667,,,030-060,35.7,36.516666666666666,"(30, 60]",20250627315,2025062733190,False,False,False,False,False,False,False,False,False,Bumpy daughter nucleus,False
57,57,84,15,3200,True,3190.3200,229.74123554795045,385.52609499976177,521,3,20250627,2,3190.0,,,1456.0,24.266666666666666,,5227,,74,tomeasure:3200:515,232.434,382.419,515,6,42,1414.0,23.566666666666663,0.7,49.0,030-060,030-060,60.083333333333336,60.78333333333333,"(30, 60]",20250627315,2025062733200,False,False,False,False,False,False,False,False,False,,False
58,58,66,18,4983,True,4983,525.2216896808508,1031.5226926705957,59,3,20250704,1,,,,,,,2081,,50,tomeasure:4983:6,589.994,985.257,6,53,371,,,6.183333333333334,,,> 120 min,0.7,6.883333333333334,"(360, 390]",20250704318,2025070434983,False,False,False,False,False,False,False,False,False,,False
59,59,70,19,5072,True,5072,746.1932130806302,811.656026887815,63,3,20250704,1,,,,,,,5877,,66,tomeasure:5072:54,732.521,842.73,54,9,63,,,1.05,,,060-090,6.3,7.35,"(60, 90]",20250704319,2025070435072,False,False,False,False,False,False,False,False,False,,False
60,60,76,20,5158,True,5158,248.1786422183773,873.5280534397532,58,3,20250704,1,,,,,,,2852,,45,tomeasure:5158:22,222.076,938.024,22,36,252,,,4.2,,,> 120 min,2.566666666666667,6.766666666666667,"(240, 270]",20250704320,2025070435158,False,False,False,False,False,False,False,False,False,,False
61,61,86,18,5227,True,5227,156.13012731407153,718.5024213635181,66,3,20250627,1,,,,,,,2419,,21,tomeasure:5227:1,451.196,394.848,1,65,455,,,7.583333333333333,,,> 120 min,0.1166666666666666,7.7,"(450, 480]",20250627318,2025062735227,False,False,False,False,False,False,False,False,False,Unclear,False
62,62,88,18,5240,True,5227.5240,198.11469936491432,714.6354213062035,557,3,20250627,2,5227.0,,,3437.0,57.28333333333333,,2501,,85,tomeasure:5240:541,207.575,731.277,541,16,112,3325.0,55.41666666666666,1.8666666666666667,455.0,> 120 min,090-120,63.11666666666667,64.98333333333333,"(90, 120]",20250627318,2025062735240,False,False,False,False,False,False,False,False,False,Congression,False
