LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID2782,2782,25,-1.0,1606.0486535100222,346.5109701312792,0.0,245601.49157714844,586,5.0,0,,23.085271317829456,21.0,0.0,81.0,2978.0,16.684588232741135,0.3972985654244327,0.7868234041015963,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2719,2719,25,-1.0,1102.233580158525,411.6975695342141,0.0,342417.09661865234,817,5.0,0,,14.891472868217054,14.0,0.0,60.0,1921.0,12.16503719044711,0.14935490646621136,0.31814093223747303,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2724,2724,25,-1.0,1124.3307324985028,323.30896017430234,0.0,212910.50805664062,508,5.0,0,,38.10852713178294,33.0,0.0,127.0,4916.0,26.348398999653874,0.47531008061297786,0.9319479199758518,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2726,2726,25,-1.0,1118.8064444135084,324.4138177913012,0.0,213329.62322998047,509,5.0,0,,28.11627906976744,20.0,0.0,140.0,3627.0,28.476039244363175,0.49152497883705504,0.6507637009405005,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2728,2728,25,-1.0,1132.0647358174951,321.0992449403045,0.0,213329.62322998047,509,5.0,0,,23.558139534883722,13.0,0.0,116.0,3039.0,27.953618665776137,0.4454897704373038,0.5194642477579693,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2732,2732,25,-1.0,558.6436325950674,321.0992449403045,0.0,208300.24114990234,497,5.0,0,,48.68217054263566,46.0,0.0,158.0,6280.0,33.58082239540804,0.6764281051331594,1.1698907633740103,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2734,2734,25,-1.0,548.6999140420774,311.15552638731447,0.0,208719.3563232422,498,5.0,0,,52.310077519379846,51.0,8.0,130.0,6748.0,26.65280193103895,0.3508836987914313,1.0195715741938964,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2736,2736,25,-1.0,558.6436325950674,319.99438732330566,0.0,208719.3563232422,498,5.0,0,,30.155038759689923,26.0,0.0,130.0,3890.0,25.76833376828619,0.595898306545721,0.873917602291105,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2741,2741,25,-1.0,631.5642353169947,102.33743677452286,0.0,315593.72552490234,753,5.0,0,,29.813953488372093,27.0,0.0,94.0,3846.0,19.23000887360871,0.4315833240524186,0.9347987122146276,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2677,2677,25,-1.0,886.78634484374,386.2858443432395,0.0,0.0,0,5.0,0,,23.05426356589147,21.0,0.0,59.0,2974.0,11.856110026532322,0.20692841045478483,0.6667724386824755,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2679,2679,25,-1.0,883.4717719927434,355.3498310672703,0.0,12154.340026855469,29,5.0,0,,44.651162790697676,34.0,0.0,185.0,5760.0,45.80745217121996,0.5117018057624837,0.6598989687809806,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2743,2743,25,-1.0,629.3545200829968,99.02286392352617,0.0,316012.8406982422,754,5.0,0,,26.751937984496124,22.0,0.0,87.0,3451.0,21.681656636339483,0.5733075960540484,0.8992218243546343,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2745,2745,25,-1.0,642.6128114869837,103.44229439152176,0.0,316012.8406982422,754,5.0,0,,45.72093023255814,40.0,0.0,138.0,5898.0,30.748469663186604,0.3169161811326267,0.7156617855030746,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2681,2681,25,-1.0,884.5766296097421,363.08383438626265,0.0,12573.455200195312,30,5.0,0,,37.89922480620155,24.0,0.0,243.0,4889.0,41.192164940912974,0.7343168522990315,0.7791135471613903,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2683,2683,25,-1.0,888.9960600777376,348.72068536527695,0.0,12573.455200195312,30,5.0,0,,35.395348837209305,29.0,0.0,162.0,4566.0,32.51067579577014,0.753485771190011,0.9356706454985418,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2749,2749,25,-1.0,728.7917056128977,807.2365964198193,0.0,342417.09661865234,817,5.0,0,,19.674418604651162,20.0,0.0,53.0,2538.0,12.429276672624646,0.2320491741370996,0.596263236189251,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2687,2687,25,-1.0,858.0600468017686,426.06071855519974,0.0,98492.06573486328,235,5.0,0,,52.98449612403101,37.0,0.0,221.0,6835.0,53.895875377916795,0.5853288791272784,0.7259452285818281,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3105,3105,27,-1.0,685.9784729541904,452.57730136317326,0.0,251049.9888305664,599,5.0,1,,51.08527131782946,20.0,0.0,245.0,6590.0,62.58407233071465,0.8425828462901869,0.7465303531034746,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3074,3074,27,-1.0,911.7169087595254,723.3821203034083,0.0,224645.73291015625,536,5.0,1,,65.24806201550388,55.0,0.0,249.0,8417.0,50.023436852100865,0.6375562639738264,1.0156553777785462,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
