LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2248 ? ID2253,8,2248,2253,-1.0,2.379749579602512E-5,0.00231736062115549,290.40105852952684,141032.25582885742,123.88216030600137,868.0037653547588,0.0,
ID2246 ? ID2256,8,2246,2256,-1.0,2.608308832229103E-5,0.0029617272102270423,356.2544813595963,138517.56478881836,398.9917069387268,758.0704324633684,0.0,
ID2244 ? ID2246,8,2244,2246,-1.0,0.006225027341500785,0.029473243802899715,12.35268368533979,78164.97982788086,229.9484915378955,789.5588745478369,0.0,
ID2256 ? ID2258,8,2256,2258,-1.0,0.006968765190404403,0.02007645024706915,8.414344925349136,198870.14974975586,570.2446375735559,727.1344191873993,0.0,
ID2241 ? ID2244,8,2241,2244,-1.0,NaN,0.0027487103191933576,214.2768735514919,38977.71112060547,135.48316528448976,751.4412867613751,0.0,
ID2260 ? ID2264,8,2260,2264,-1.0,1.164232576417353E-5,0.004479220049184914,568.8246534644559,262575.6560974121,287.95351643033763,738.7354241658877,0.0,
ID2272 ? ID2274,9,2272,2274,-1.0,0.006453990849868042,0.008336292222637787,3.4938665599024272,39606.383880615234,1351.3789727917763,790.1113033563364,0.0,
ID2274 ? ID2282,9,2274,2282,-1.0,7.3169282594950555E-6,0.0016509707937233742,301.68885293021066,131183.0492553711,1478.990027555149,708.9042685069174,0.0,
ID2272 ? ID2276,9,2272,2276,-1.0,0.002473490436898795,0.019191585930100577,8.04348486376061,39606.383880615234,1350.8265439832767,795.6355914413309,0.0,
ID2276 ? ID2280,9,2276,2280,-1.0,2.7605373745985973E-5,0.0035107868533747985,320.77044085329027,85499.49536132812,1475.1230258956527,699.5129787624269,0.0,
ID2270 ? ID2272,9,2270,2272,-1.0,NaN,0.0022019711113303313,86.75067337736678,19698.413146972656,1322.1002459413053,760.2801476973661,0.0,
ID2300 ? ID2303,10,2300,2303,-1.0,5.139942117597254E-8,0.001513651417011212,139.56674072368594,296314.42755126953,761.3850053143651,272.48550979235307,0.0,
ID2291 ? ID2296,10,2291,2296,-1.0,7.879582727740704E-6,0.002055010109079335,366.04651518481455,160730.66897583008,606.15251012602,464.7307351501612,0.0,
ID2296 ? ID2298,10,2296,2298,-1.0,0.00147487913885179,0.007908501199284972,3.314572850996683,250002.2008972168,756.9655748463695,358.664403918267,0.0,
ID2285 ? ID2287,10,2285,2287,-1.0,NaN,0.0030179483001455194,215.02754724084994,35624.78973388672,510.5823262556154,643.7176691039825,0.0,
ID2296 ? ID2300,10,2296,2300,-1.0,0.002114177661531215,0.03963028081252286,16.609652012247203,250002.2008972168,755.8607172293706,350.3779717907753,0.0,
ID2306 ? ID2308,10,2306,2308,-1.0,0.007190813806124695,0.018640516090121056,7.812523132255232,252097.77676391602,518.3163295746076,566.9300647225591,0.0,
ID2289 ? ID2306,10,2289,2306,-1.0,9.42522631744954E-6,4.3531726826193074E-4,78.45267110853334,161778.4569091797,482.96088583064295,566.9300647225591,0.0,
ID2287 ? ID2289,10,2287,2289,-1.0,0.005587502297141937,0.018640516090121344,7.812523132255353,71459.13705444336,444.2908692356816,562.5106342545636,0.0,
ID2306 ? ID2310,10,2306,2310,-1.0,0.0021715724418695844,0.016879705236969633,7.074540586317997,252097.77676391602,524.3930464681016,564.7203494885614,0.0,
ID2287 ? ID2291,10,2287,2291,-1.0,0.007191538954211423,0.04100913539826687,17.18755089096174,71459.13705444336,450.920014937675,564.7203494885614,0.0,
ID2319 ? ID2327,11,2319,2327,-1.0,1.163510970746071E-5,6.294858658039555E-4,121.09662869248555,246230.1643371582,950.868086629676,765.8044357823608,0.0,
ID2317 ? ID2319,11,2317,2319,-1.0,0.0020304617665045533,0.02125345835712129,8.90764688341604,149833.67446899414,989.5381032246373,722.7149887194037,0.0,
ID2317 ? ID2321,11,2317,2321,-1.0,0.005762020720137187,0.03427017186356839,14.363149020985702,149833.67446899414,977.9370982461489,722.1625599109043,0.0,
ID2314 ? ID2317,11,2314,2317,-1.0,NaN,8.002602114931306E-4,119.73822742072167,74812.05844116211,940.3719392681865,761.9374341228645,0.0,
ID2321 ? ID2324,11,2321,2324,-1.0,1.1737148089557831E-5,5.794742386639113E-4,111.47569870647202,246230.1643371582,1006.1109674796207,679.0731128479472,0.0,
ID2337 ? ID2340,12,2337,2340,-1.0,3.909022812986835E-6,3.4352310198992707E-4,40.7451356756,177914.39108276367,523.2881888511027,591.7893611050343,0.0,
ID2340 ? ID2344,12,2340,2344,-1.0,0.0016907674004755545,0.010544668265713205,4.419430467995539,237428.74569702148,540.965910723085,578.5310697010476,0.0,
ID2330 ? ID2333,12,2330,2333,-1.0,NaN,7.780862868402407E-4,91.9623908530376,59095.23944091797,476.88416893714907,568.5873511480576,0.0,
