LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2036,2036,1,-1.0,850.0498290785265,1039.2566959895876,0.0,175609.04025268555,419,5.0,1,,59.36434108527132,53.0,0.0,255.0,7658.0,43.1966683438405,0.5612365041173879,0.9880583869857498
ID2038,2038,1,-1.0,856.1265459720206,1054.7247026275725,0.0,176866.3842163086,422,5.0,1,,65.88372093023256,63.0,0.0,226.0,8499.0,50.39788994637089,0.6726566965435371,1.0514349701017935
ID2040,2040,1,-1.0,864.9654069080117,1054.1722738190726,0.0,177285.4988708496,423,5.0,1,,37.12403100775194,15.0,0.0,230.0,4789.0,52.44848778681832,0.6813950806515244,0.5736954068526853
ID2042,2042,1,-1.0,850.6022578870261,1065.220849989062,0.0,177285.4988708496,423,5.0,1,,37.17829457364341,14.0,0.0,251.0,4796.0,50.88197888441249,0.6504140230132273,0.5759071328615399
ID2046,2046,1,-1.0,872.699410227004,1162.448320284965,0.0,185667.79196166992,443,5.0,1,,30.635658914728683,26.0,0.0,101.0,3952.0,26.452179135333104,0.5005538899026426,0.7726717069139115
ID2112,2112,2,-1.0,837.620180887289,941.4767968851854,0.0,295475.831451416,705,5.0,1,,44.968992248062015,37.0,0.0,173.0,5801.0,39.932939486190506,0.7680685511032718,0.978391688179137
ID2114,2114,2,-1.0,827.676462334299,1090.6325751800364,0.0,342416.67276000977,817,5.0,1,,32.52713178294574,31.0,0.0,105.0,4196.0,19.31849725626479,0.4180600203042766,0.9927649792432547
ID2116,2116,2,-1.0,821.0473166323055,946.4486561616804,0.0,295894.94610595703,706,5.0,1,,31.54263565891473,20.0,0.0,106.0,4069.0,31.167142091055297,0.5150750534256803,0.6881250425658609
ID2118,2118,2,-1.0,847.0114706317796,1156.371603391471,0.0,342416.67276000977,817,5.0,1,,25.713178294573645,19.0,0.0,102.0,3317.0,25.86539489551194,0.19351429149706526,0.32236810333873744
ID2120,2120,2,-1.0,633.2215217424931,942.0292256936847,0.0,186086.90661621094,444,5.0,1,,64.0,20.0,0.0,255.0,8256.0,80.13679710345305,0.8111617054905356,0.7153658460490714
