,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
71,32,3266,TRUE,3252.3259.3266,595.380,479.094,499,[],2,Example,siHAUS6,3,3259,3252,3279,[],0,2,1729,28.817,TRUE,TRUE,normal,,blank,
63,30,3180,TRUE,3153.318,1125.712,725.477,501,[],2,Example,siHAUS6,2,3153,,3161,['3190'],1,2,2450,40.833,FALSE,,normal,,blank,
13,7,2225,TRUE,2204.222,1063.564,916.618,507,[],2,Example,siHAUS6,2,2204,,2212,[],0,2,2380,39.667,FALSE,,normal,,blank,
48,25,2724,TRUE,2679.2687.2724,1124.331,323.309,508,[],2,Example,siHAUS6,3,2687,2679,2732,['2759'],1,2,1911,31.850,FALSE,TRUE,Misaligned,,blank,
34,16,2485,TRUE,2456.2463.2485,441.529,749.784,515,[],2,Example,siHAUS6,3,2463,2456,2471,['2494' '2507'],2,2,2072,34.533,FALSE,TRUE,normal,,blank,
12,7,2212,TRUE,2204.221,1128.750,896.730,536,[],2,Example,siHAUS6,2,2204,,2225,[],0,2,2583,43.050,TRUE,,normal,,blank,
53,27,3074,TRUE,3066.307,911.717,723.382,536,[],2,Example,siHAUS6,2,3066,,3103,['3082' '3095'],2,2,3010,50.167,FALSE,,normal,,blank,
80,33,3354,TRUE,3309.3345.3354,998.653,458.102,538,[],2,Example,siHAUS6,3,3345,3309,,[],0,1,2205,36.750,,FALSE,normal,,blank,
78,33,3336,TRUE,3309.3318.3336,495.943,1144.218,545,"['3338', '3340']",2,Example,siHAUS6,3,3318,3309,3324,[],0,2,2443,40.717,TRUE,TRUE,Mitotic Death,,blank,
43,20,2659,TRUE,2600.2629.2659,1526.499,637.089,564,[],2,Example,siHAUS6,3,2629,2600,,[],0,1,2590,43.167,,FALSE,normal,,blank,
22,12,2340,TRUE,2333.234,538.756,578.531,566,"['2342', '2344']",2,Example,siHAUS6,2,2333,,,[],0,1,1988,33.133,,,Misaligned,,blank,
38,16,2528,TRUE,2456.2520.2528,749.784,222.767,577,[],2,Example,siHAUS6,3,2520,2456,,['2539'],1,1,1393,23.217,,FALSE,normal,,blank,
18,10,2296,TRUE,2287.230,755.308,358.664,596,['2298'],2,Example,siHAUS6,2,2287,,2306,[],0,2,2982,49.700,TRUE,,Massive Missegregation,,blank,
56,27,3103,TRUE,3066.310,702.551,442.634,598,[],2,Example,siHAUS6,2,3066,,3074,[],0,2,3444,57.400,TRUE,,normal,,blank,
