,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID
26,20,2621,True,2600.2621,1132.0647358174951,535.4416226380906,493.0,[]
27,20,2629,True,2600.2629,1038.1518383725888,722.1625599109043,194.0,[]
28,20,2659,True,2600.2629.2659,1526.4989050861016,637.0885234019892,564.0,[]
29,25,2679,True,2679,883.4717719927434,355.3498310672703,29.0,[]
30,25,2687,True,2679.2687,858.0600468017686,426.06071855519974,235.0,[]
31,25,2696,True,2679.2696,1207.19505377342,536.5464802550895,394.0,['2782']
32,25,2706,True,2679.2696.2706,1164.105606710463,391.81013242823394,724.0,[]
33,25,2724,True,2679.2687.2724,1124.3307324985028,323.30896017430234,508.0,[]
34,25,2732,True,2679.2687.2732,558.6436325950674,321.0992449403045,497.0,[]
35,25,2741,True,2679.2687.2732.2741,631.5642353169947,102.33743677452286,753.0,[]
36,25,2759,True,2679.2687.2724.2759,858.0600468017686,243.75921175038172,766.0,[]
37,27,3066,True,3066,807.0864707283492,704.9179253567303,106.0,[]
38,27,3074,True,3066.3074,911.7169087595254,723.3821203034083,536.0,[]
39,27,3082,True,3066.3074.3082,930.1811037062035,916.6406940786396,802.0,[]
40,27,3095,True,3066.3074.3095,926.8374334599499,613.8865134450124,626.0,"['3097', '3099']"
41,27,3103,True,3066.3103,702.5513372091739,442.6335828101832,598.0,[]
42,28,3119,True,3119,879.3285559289973,643.7176691039825,162.0,[]
43,28,3126,True,3119.3126,626.31616163625,1112.177298711515,403.0,[]
44,28,3134,True,3119.3126.3134,1032.9037646918441,847.0114706317796,624.0,[]
45,3,2079,True,2079,725.477132761901,481.30359940514467,223.0,['2083']
46,30,3153,True,3153,1220.7295595816568,823.8094606748027,151.0,[]
47,30,3161,True,3153.3161,1271.553009963606,777.405440760849,475.0,[]
48,30,3169,True,3153.3161.3169,1395.2970630674824,732.1062784638943,816.0,[]
49,30,3180,True,3153.3180,1125.7118045197515,725.477132761901,501.0,[]
50,30,3190,True,3153.3180.3190,961.088019586916,529.9173345530961,756.0,[]
51,31,3207,True,3207,721.3339166981551,725.477132761901,211.0,[]
52,31,3215,True,3207.3215,710.2853405281661,641.5079538699847,383.0,[]
53,31,3228,True,3207.3228,750.0602147401264,694.5411194859317,435.0,[]
54,31,3235,True,3207.3228.3235,666.0910358482103,805.0268811858215,705.0,[]
55,32,3252,True,3252,753.3747875911231,964.1263780336627,36.0,[]
56,32,3259,True,3252.3259,800.8836651220756,845.9066130147808,252.0,[]
57,32,3266,True,3252.3259.3266,595.3801483602808,479.0938841711468,499.0,[]
58,32,3279,True,3252.3259.3279,697.0270491241793,812.7608845048138,634.0,['3281']
59,32,3289,True,3252.3289,425.2320753424506,940.9243680766859,301.0,['3304']
60,32,3296,True,3252.3289.3296,698.1319067411782,731.0014208468954,801.0,"['3298', '3300']"
61,33,3309,True,3309,864.9654069080118,619.4108015300068,24.0,[]
62,33,3318,True,3309.3318,818.561386994058,918.8272157367079,196.0,[]
63,33,3324,True,3309.3318.3324,773.2622246971032,1092.289861605535,483.0,[]
64,33,3336,True,3309.3318.3336,495.94296283038,1144.218169604483,545.0,"['3338', '3340']"
65,33,3345,True,3309.3345,1016.3309004368606,588.4747882540377,223.0,['3352']
66,33,3354,True,3309.3345.3354,998.6531785648782,458.10158944816783,538.0,[]
67,34,3369,True,3369,1080.4126422227966,679.0731128479473,205.0,[]
68,34,3377,True,3369.3377,1022.9600461388541,729.8965632298965,374.0,[]
69,34,3384,True,3369.3377.3384,1250.560715240627,847.0114706317796,654.0,[]
70,34,3397,True,3369.3397,1145.5992416257316,676.8633976139495,379.0,[]
71,34,3404,True,3369.3397.3404,1535.6139804263423,654.7662452739714,714.0,[]
72,34,3418,True,3369.3397.3418,1369.885337876508,523.2881888511027,627.0,[]
73,4,2107,True,2107,777.405440760849,811.656026887815,158.0,[]
74,4,2118,True,2107.2118,606.15251012602,913.3029276517135,420.0,[]
75,4,2130,True,2107.2130,953.0778018636738,359.76926153526597,450.0,[]
76,4,2138,True,2107.2130.2138,842.5920401637841,199.56490707042582,684.0,[]
77,4,2150,True,2107.2130.2150,930.9806495236958,423.851003321202,668.0,[]
78,5,2165,True,2165,859.1649044187675,765.2520069738613,306.0,[]
79,6,2181,True,2181,461.4161622991645,273.590367409352,223.0,[]
80,6,2190,True,2181.2190,527.7076193190984,10.634254563614387,719.0,"['2192', '2194']"
81,7,2204,True,2204,1072.4024244995546,895.625205779731,167.0,[]
82,7,2212,True,2204.2212,1128.7501629664985,896.7300633967301,536.0,[]
83,7,2225,True,2204.2225,1063.5635635635635,916.6175005027102,507.0,[]
84,8,2244,True,2244,236.02520843138942,788.4540169308381,186.0,['2253']
85,8,2256,True,2244.2256,574.1116392330521,725.477132761901,474.0,['2264']
86,9,2272,True,2272,1351.9314016002756,791.7685897818347,94.0,"['2280', '2282']"
